section,key,count
predicate_true,age_gap_above,47
predicate_true,and,5
predicate_true,contradicts,7
predicate_true,evidence_missing,19
predicate_true,not,57
predicate_true,or,11
predicate_true,provenance_matches,7
predicate_true,query_relevant,47
predicate_true,similarity_above,21
predicate_true,source_more_reliable,5
predicate_true,temporal_dominates,20
predicate_false,age_gap_above,17
predicate_false,and,59
predicate_false,contradicts,57
predicate_false,evidence_missing,45
predicate_false,not,7
predicate_false,or,53
predicate_false,provenance_matches,57
predicate_false,query_relevant,17
predicate_false,similarity_above,43
predicate_false,source_more_reliable,59
predicate_false,temporal_dominates,44
action_applied,abstain,47
action_applied,annotate_conflict,46
action_applied,demote,46
action_applied,keep,46
action_applied,preserve,46
action_applied,replace,46
action_applied,retrieve_fill,1
action_applied,suppress,46
action_applied,verify,46
action_noop,abstain,17
action_noop,annotate_conflict,17
action_noop,demote,17
action_noop,keep,17
action_noop,preserve,17
action_noop,replace,17
action_noop,retrieve_fill,63
action_noop,suppress,17
action_noop,verify,17
action_fail_closed,abstain,0
action_fail_closed,annotate_conflict,1
action_fail_closed,demote,1
action_fail_closed,keep,1
action_fail_closed,preserve,1
action_fail_closed,replace,1
action_fail_closed,retrieve_fill,0
action_fail_closed,suppress,1
action_fail_closed,verify,1
threshold_values,age_gap_above@1.0,47
threshold_values,age_gap_above@30.0,1
threshold_values,age_gap_above@7.0,5
threshold_values,similarity_above@0.25,21
threshold_values,similarity_above@0.5,20
threshold_values,similarity_above@0.75,11
families,action_count_boundary,3
families,action_surface,9
families,composition,4
families,connective,6
families,fail_closed,2
families,logical_cost_boundary,3
families,mixed_store,3
families,negation_polarity,2
families,null_preservation,2
families,ordering,3
families,predicate_boundary,16
families,provenance,2
families,threshold_grid,6
families,token_boundary,3
