case_id,user_uuid,kp_position,kp_type,probe_class,question_type,evidence_condition,checkpoint_index,checkpoint_event_index,age_sessions,perturbation_label
memtraceb-2f1f897e-kp0000-a7c0-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,0,static,static,current,present,0,7,7,
memtraceb-2f1f897e-kp0000-a15c1-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,0,static,static,current,present,1,15,15,
memtraceb-2f1f897e-kp0000-a23c2-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,0,static,static,current,present,2,23,23,
memtraceb-2f1f897e-kp0000-a31c3-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,0,static,static,current,present,3,31,31,
memtraceb-2f1f897e-kp0000-a39c4-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,0,static,static,current,present,4,39,39,
memtraceb-2f1f897e-kp0000-a47c5-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,0,static,static,current,present,5,47,47,
memtraceb-2f1f897e-kp0000-a55c6-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,0,static,static,current,present,6,55,55,
memtraceb-2f1f897e-kp0000-a64c7-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,0,static,static,current,present,7,64,64,
memtraceb-2f1f897e-kp0026-a5c0-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,26,preference,preference,current,present,0,7,5,
memtraceb-2f1f897e-kp0026-a13c1-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,26,preference,preference,current,present,1,15,13,
memtraceb-2f1f897e-kp0026-a21c2-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,26,preference,preference,current,present,2,23,21,
memtraceb-2f1f897e-kp0026-a29c3-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,26,preference,preference,current,present,3,31,29,
memtraceb-2f1f897e-kp0026-a37c4-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,26,preference,preference,current,present,4,39,37,
memtraceb-2f1f897e-kp0026-a45c5-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,26,preference,preference,current,present,5,47,45,
memtraceb-2f1f897e-kp0026-a53c6-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,26,preference,preference,current,present,6,55,53,
memtraceb-2f1f897e-kp0026-a62c7-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,26,preference,preference,current,present,7,64,62,
memtraceb-2f1f897e-kp0110-a3c0-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,dynamic,current,present,0,7,3,item_stale
memtraceb-2f1f897e-kp0110-a3c0-historical-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,dynamic,historical,present,0,7,3,retrieval_error
memtraceb-2f1f897e-kp0110-a3c0-trajectory-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,dynamic,trajectory,present,0,7,3,granularity_error
memtraceb-2f1f897e-kp0110-a3c0-current-contradicted,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,conflict_distractor,current,contradicted,0,7,3,item_conflict
memtraceb-2f1f897e-kp0110-a11c1-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,dynamic,current,present,1,15,11,item_stale
memtraceb-2f1f897e-kp0110-a11c1-historical-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,dynamic,historical,present,1,15,11,retrieval_error
memtraceb-2f1f897e-kp0110-a11c1-trajectory-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,dynamic,trajectory,present,1,15,11,granularity_error
memtraceb-2f1f897e-kp0110-a11c1-current-contradicted,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,conflict_distractor,current,contradicted,1,15,11,item_conflict
memtraceb-2f1f897e-kp0110-a19c2-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,dynamic,current,present,2,23,19,item_stale
memtraceb-2f1f897e-kp0110-a19c2-historical-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,dynamic,historical,present,2,23,19,retrieval_error
memtraceb-2f1f897e-kp0110-a19c2-trajectory-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,dynamic,trajectory,present,2,23,19,granularity_error
memtraceb-2f1f897e-kp0110-a19c2-current-contradicted,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,conflict_distractor,current,contradicted,2,23,19,item_conflict
memtraceb-2f1f897e-kp0110-a27c3-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,dynamic,current,present,3,31,27,item_stale
memtraceb-2f1f897e-kp0110-a27c3-historical-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,dynamic,historical,present,3,31,27,retrieval_error
memtraceb-2f1f897e-kp0110-a27c3-trajectory-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,dynamic,trajectory,present,3,31,27,granularity_error
memtraceb-2f1f897e-kp0110-a27c3-current-contradicted,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,conflict_distractor,current,contradicted,3,31,27,item_conflict
memtraceb-2f1f897e-kp0110-a35c4-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,dynamic,current,present,4,39,35,item_stale
memtraceb-2f1f897e-kp0110-a35c4-historical-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,dynamic,historical,present,4,39,35,retrieval_error
memtraceb-2f1f897e-kp0110-a35c4-trajectory-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,dynamic,trajectory,present,4,39,35,granularity_error
memtraceb-2f1f897e-kp0110-a35c4-current-contradicted,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,conflict_distractor,current,contradicted,4,39,35,item_conflict
memtraceb-2f1f897e-kp0110-a43c5-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,dynamic,current,present,5,47,43,item_stale
memtraceb-2f1f897e-kp0110-a43c5-historical-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,dynamic,historical,present,5,47,43,retrieval_error
memtraceb-2f1f897e-kp0110-a43c5-trajectory-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,dynamic,trajectory,present,5,47,43,granularity_error
memtraceb-2f1f897e-kp0110-a43c5-current-contradicted,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,conflict_distractor,current,contradicted,5,47,43,item_conflict
memtraceb-2f1f897e-kp0110-a51c6-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,dynamic,current,present,6,55,51,item_stale
memtraceb-2f1f897e-kp0110-a51c6-historical-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,dynamic,historical,present,6,55,51,retrieval_error
memtraceb-2f1f897e-kp0110-a51c6-trajectory-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,dynamic,trajectory,present,6,55,51,granularity_error
memtraceb-2f1f897e-kp0110-a51c6-current-contradicted,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,conflict_distractor,current,contradicted,6,55,51,item_conflict
memtraceb-2f1f897e-kp0110-a60c7-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,dynamic,current,present,7,64,60,item_stale
memtraceb-2f1f897e-kp0110-a60c7-historical-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,dynamic,historical,present,7,64,60,retrieval_error
memtraceb-2f1f897e-kp0110-a60c7-trajectory-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,dynamic,trajectory,present,7,64,60,granularity_error
memtraceb-2f1f897e-kp0110-a60c7-current-contradicted,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,110,dynamic,conflict_distractor,current,contradicted,7,64,60,item_conflict
memtraceb-2f1f897e-kp0169-a4c1-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,169,preference,preference,current,present,1,15,4,
memtraceb-2f1f897e-kp0169-a12c2-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,169,preference,preference,current,present,2,23,12,
memtraceb-2f1f897e-kp0169-a20c3-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,169,preference,preference,current,present,3,31,20,
memtraceb-2f1f897e-kp0169-a28c4-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,169,preference,preference,current,present,4,39,28,
memtraceb-2f1f897e-kp0169-a36c5-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,169,preference,preference,current,present,5,47,36,
memtraceb-2f1f897e-kp0169-a44c6-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,169,preference,preference,current,present,6,55,44,
memtraceb-2f1f897e-kp0169-a53c7-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,169,preference,preference,current,present,7,64,53,
memtraceb-2f1f897e-kp0307-a2c3-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,307,dynamic,dynamic,current,present,3,31,2,item_stale
memtraceb-2f1f897e-kp0307-a2c3-historical-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,307,dynamic,dynamic,historical,present,3,31,2,retrieval_error
memtraceb-2f1f897e-kp0307-a2c3-trajectory-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,307,dynamic,dynamic,trajectory,present,3,31,2,granularity_error
memtraceb-2f1f897e-kp0307-a2c3-current-contradicted,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,307,dynamic,conflict_distractor,current,contradicted,3,31,2,item_conflict
memtraceb-2f1f897e-kp0307-a10c4-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,307,dynamic,dynamic,current,present,4,39,10,item_stale
memtraceb-2f1f897e-kp0307-a10c4-historical-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,307,dynamic,dynamic,historical,present,4,39,10,retrieval_error
memtraceb-2f1f897e-kp0307-a10c4-trajectory-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,307,dynamic,dynamic,trajectory,present,4,39,10,granularity_error
memtraceb-2f1f897e-kp0307-a10c4-current-contradicted,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,307,dynamic,conflict_distractor,current,contradicted,4,39,10,item_conflict
memtraceb-2f1f897e-kp0307-a18c5-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,307,dynamic,dynamic,current,present,5,47,18,item_stale
memtraceb-2f1f897e-kp0307-a18c5-historical-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,307,dynamic,dynamic,historical,present,5,47,18,retrieval_error
memtraceb-2f1f897e-kp0307-a18c5-trajectory-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,307,dynamic,dynamic,trajectory,present,5,47,18,granularity_error
memtraceb-2f1f897e-kp0307-a18c5-current-contradicted,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,307,dynamic,conflict_distractor,current,contradicted,5,47,18,item_conflict
memtraceb-2f1f897e-kp0307-a26c6-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,307,dynamic,dynamic,current,present,6,55,26,item_stale
memtraceb-2f1f897e-kp0307-a26c6-historical-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,307,dynamic,dynamic,historical,present,6,55,26,retrieval_error
memtraceb-2f1f897e-kp0307-a26c6-trajectory-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,307,dynamic,dynamic,trajectory,present,6,55,26,granularity_error
memtraceb-2f1f897e-kp0307-a26c6-current-contradicted,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,307,dynamic,conflict_distractor,current,contradicted,6,55,26,item_conflict
memtraceb-2f1f897e-kp0307-a35c7-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,307,dynamic,dynamic,current,present,7,64,35,item_stale
memtraceb-2f1f897e-kp0307-a35c7-historical-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,307,dynamic,dynamic,historical,present,7,64,35,retrieval_error
memtraceb-2f1f897e-kp0307-a35c7-trajectory-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,307,dynamic,dynamic,trajectory,present,7,64,35,granularity_error
memtraceb-2f1f897e-kp0307-a35c7-current-contradicted,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,307,dynamic,conflict_distractor,current,contradicted,7,64,35,item_conflict
memtraceb-2f1f897e-kp0342-a6c4-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,342,static,static,current,present,4,39,6,
memtraceb-2f1f897e-kp0342-a14c5-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,342,static,static,current,present,5,47,14,
memtraceb-2f1f897e-kp0342-a22c6-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,342,static,static,current,present,6,55,22,
memtraceb-2f1f897e-kp0342-a31c7-current-present,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,342,static,static,current,present,7,64,31,
memtraceb-2f1f897e-bdfoodpreference-a7c0-current-missing,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,,boundary,boundary_distractor,current,missing,0,7,7,safety_error
memtraceb-2f1f897e-bdfoodpreference-a15c1-current-missing,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,,boundary,boundary_distractor,current,missing,1,15,15,safety_error
memtraceb-2f1f897e-bdfoodpreference-a23c2-current-missing,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,,boundary,boundary_distractor,current,missing,2,23,23,safety_error
memtraceb-2f1f897e-bdfoodpreference-a31c3-current-missing,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,,boundary,boundary_distractor,current,missing,3,31,31,safety_error
memtraceb-2f1f897e-bdfoodpreference-a39c4-current-missing,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,,boundary,boundary_distractor,current,missing,4,39,39,safety_error
memtraceb-2f1f897e-bdfoodpreference-a47c5-current-missing,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,,boundary,boundary_distractor,current,missing,5,47,47,safety_error
memtraceb-2f1f897e-bdfoodpreference-a55c6-current-missing,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,,boundary,boundary_distractor,current,missing,6,55,55,safety_error
memtraceb-2f1f897e-bdfoodpreference-a64c7-current-missing,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,,boundary,boundary_distractor,current,missing,7,64,64,safety_error
memtraceb-2f1f897e-bdreadingpreference-a7c0-current-missing,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,,boundary,boundary_distractor,current,missing,0,7,7,safety_error
memtraceb-2f1f897e-bdreadingpreference-a15c1-current-missing,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,,boundary,boundary_distractor,current,missing,1,15,15,safety_error
memtraceb-2f1f897e-bdreadingpreference-a23c2-current-missing,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,,boundary,boundary_distractor,current,missing,2,23,23,safety_error
memtraceb-2f1f897e-bdreadingpreference-a31c3-current-missing,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,,boundary,boundary_distractor,current,missing,3,31,31,safety_error
memtraceb-2f1f897e-bdreadingpreference-a39c4-current-missing,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,,boundary,boundary_distractor,current,missing,4,39,39,safety_error
memtraceb-2f1f897e-bdreadingpreference-a47c5-current-missing,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,,boundary,boundary_distractor,current,missing,5,47,47,safety_error
memtraceb-2f1f897e-bdreadingpreference-a55c6-current-missing,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,,boundary,boundary_distractor,current,missing,6,55,55,safety_error
memtraceb-2f1f897e-bdreadingpreference-a64c7-current-missing,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,,boundary,boundary_distractor,current,missing,7,64,64,safety_error
memtraceb-8ece194a-kp0000-a8c0-current-present,8ece194a-885c-8e0c-359e-93a97220252c,0,static,static,current,present,0,8,8,
memtraceb-8ece194a-kp0000-a18c1-current-present,8ece194a-885c-8e0c-359e-93a97220252c,0,static,static,current,present,1,18,18,
memtraceb-8ece194a-kp0000-a27c2-current-present,8ece194a-885c-8e0c-359e-93a97220252c,0,static,static,current,present,2,27,27,
memtraceb-8ece194a-kp0000-a37c3-current-present,8ece194a-885c-8e0c-359e-93a97220252c,0,static,static,current,present,3,37,37,
memtraceb-8ece194a-kp0000-a47c4-current-present,8ece194a-885c-8e0c-359e-93a97220252c,0,static,static,current,present,4,47,47,
